X_true, y_true
0+7, 7
0+30, 30
0+39, 39
0+51, 51
0+60, 60
0+61, 61
0+67, 67
0+70, 70
0+77, 77
0+80, 80
0+85, 85
0+90, 90
1+7, 8
1+8, 9
1+29, 30
1+36, 37
1+38, 39
1+89, 90
1+98, 99
2+5, 7
2+28, 30
2+32, 34
2+35, 37
2+49, 51
2+59, 61
2+88, 90
2+96, 98
2+97, 99
2+99, 101
3+4, 7
3+27, 30
3+34, 37
3+36, 39
3+48, 51
3+58, 61
3+64, 67
3+68, 71
3+78, 81
3+88, 91
3+95, 98
3+99, 102
4+3, 7
4+33, 37
4+47, 51
4+57, 61
4+63, 67
4+67, 71
4+70, 74
4+77, 81
4+87, 91
4+94, 98
4+98, 102
5+2, 7
5+32, 37
5+46, 51
5+56, 61
5+66, 71
5+76, 81
5+79, 84
5+86, 91
5+97, 102
6+1, 7
6+31, 37
6+45, 51
6+55, 61
6+65, 71
6+69, 75
6+75, 81
6+85, 91
6+89, 95
6+95, 101
7+0, 7
7+44, 51
7+54, 61
7+64, 71
7+74, 81
7+84, 91
7+88, 95
7+94, 101
8+29, 37
8+31, 39
8+43, 51
8+53, 61
8+59, 67
8+63, 71
8+69, 77
8+73, 81
8+83, 91
8+89, 97
8+90, 98
8+91, 99
8+93, 101
9+28, 37
9+30, 39
9+42, 51
9+52, 61
9+58, 67
9+62, 71
9+72, 81
9+81, 90
9+82, 91
10+20, 30
10+29, 39
10+40, 50
10+41, 51
10+50, 60
10+60, 70
10+70, 80
10+75, 85
10+80, 90
10+83, 93
10+85, 95
10+89, 99
10+99, 109
11+19, 30
11+28, 39
11+39, 50
11+49, 60
11+59, 70
11+69, 80
11+79, 90
11+88, 99
11+98, 109
12+18, 30
12+27, 39
12+39, 51
12+48, 60
12+58, 70
12+68, 80
12+78, 90
12+87, 99
12+97, 109
13+17, 30
13+22, 35
13+24, 37
13+26, 39
13+38, 51
13+48, 61
13+54, 67
13+55, 68
13+56, 69
13+57, 70
13+64, 77
13+67, 80
13+77, 90
13+86, 99
13+89, 102
13+96, 109
14+16, 30
14+23, 37
14+25, 39
14+37, 51
14+47, 61
14+53, 67
14+55, 69
14+56, 70
14+63, 77
14+66, 80
14+76, 90
14+84, 98
14+85, 99
14+87, 101
14+88, 102
14+95, 109
15+15, 30
15+22, 37
15+24, 39
15+36, 51
15+46, 61
15+54, 69
15+55, 70
15+65, 80
15+69, 84
15+75, 90
15+84, 99
15+86, 101
15+87, 102
15+94, 109
16+14, 30
16+18, 34
16+21, 37
16+35, 51
16+45, 61
16+59, 75
16+64, 80
16+69, 85
16+74, 90
16+83, 99
16+93, 109
17+13, 30
17+22, 39
17+34, 51
17+44, 61
17+58, 75
17+63, 80
17+68, 85
17+73, 90
17+78, 95
17+82, 99
17+92, 109
18+12, 30
18+21, 39
18+33, 51
18+43, 61
18+52, 70
18+53, 71
18+57, 75
18+62, 80
18+67, 85
18+72, 90
18+77, 95
18+81, 99
18+83, 101
18+91, 109
19+11, 30
19+20, 39
19+32, 51
19+42, 61
19+51, 70
19+56, 75
19+61, 80
19+65, 84
19+66, 85
19+71, 90
19+72, 91
19+80, 99
19+82, 101
19+83, 102
19+90, 109
20+10, 30
20+14, 34
20+19, 39
20+31, 51
20+40, 60
20+41, 61
20+47, 67
20+50, 70
20+60, 80
20+63, 83
20+65, 85
20+70, 90
20+73, 93
20+75, 95
20+78, 98
20+79, 99
20+81, 101
20+82, 102
20+89, 109
20+99, 119
21+18, 39
21+30, 51
21+39, 60
21+48, 69
21+49, 70
21+59, 80
21+63, 84
21+64, 85
21+69, 90
21+72, 93
21+78, 99
21+80, 101
21+88, 109
21+99, 120
22+15, 37
22+17, 39
22+29, 51
22+39, 61
22+45, 67
22+47, 69
22+48, 70
22+53, 75
22+55, 77
22+58, 80
22+68, 90
22+73, 95
22+76, 98
22+77, 99
22+79, 101
22+80, 102
22+87, 109
22+98, 120
23+7, 30
23+14, 37
23+16, 39
23+28, 51
23+38, 61
23+44, 67
23+46, 69
23+47, 70
23+54, 77
23+57, 80
23+67, 90
23+69, 92
23+72, 95
23+78, 101
23+79, 102
23+86, 109
23+96, 119
23+97, 120
24+6, 30
24+11, 35
24+13, 37
24+15, 39
24+27, 51
24+37, 61
24+43, 67
24+46, 70
24+47, 71
24+56, 80
24+66, 90
24+68, 92
24+69, 93
24+73, 97
24+77, 101
24+78, 102
24+85, 109
24+96, 120
25+8, 33
25+9, 34
25+12, 37
25+14, 39
25+26, 51
25+36, 61
25+42, 67
25+46, 71
25+49, 74
25+65, 90
25+67, 92
25+68, 93
25+70, 95
25+73, 98
25+76, 101
25+77, 102
25+84, 109
25+95, 120
25+99, 124
26+5, 31
26+8, 34
26+9, 35
26+11, 37
26+13, 39
26+25, 51
26+35, 61
26+45, 71
26+49, 75
26+55, 81
26+57, 83
26+64, 90
26+67, 93
26+69, 95
26+75, 101
26+83, 109
26+93, 119
26+94, 120
27+4, 31
27+12, 39
27+24, 51
27+34, 61
27+42, 69
27+44, 71
27+48, 75
27+54, 81
27+58, 85
27+63, 90
27+64, 91
27+66, 93
27+68, 95
27+72, 99
27+74, 101
27+82, 109
27+92, 119
27+93, 120
28+2, 30
28+3, 31
28+9, 37
28+11, 39
28+23, 51
28+33, 61
28+39, 67
28+43, 71
28+53, 81
28+56, 84
28+57, 85
28+62, 90
28+63, 91
28+67, 95
28+71, 99
28+73, 101
28+81, 109
29+1, 30
29+8, 37
29+10, 39
29+22, 51
29+32, 61
29+38, 67
29+41, 70
29+42, 71
29+51, 80
29+52, 81
29+56, 85
29+61, 90
29+62, 91
29+66, 95
29+69, 98
29+70, 99
29+72, 101
29+80, 109
29+90, 119
30+7, 37
30+9, 39
30+21, 51
30+30, 60
30+31, 61
30+37, 67
30+40, 70
30+47, 77
30+50, 80
30+53, 83
30+55, 85
30+60, 90
30+63, 93
30+65, 95
30+68, 98
30+69, 99
30+71, 101
30+72, 102
30+79, 109
30+89, 119
30+99, 129
31+3, 34
31+8, 39
31+29, 60
31+38, 69
31+39, 70
31+46, 77
31+49, 80
31+52, 83
31+54, 85
31+59, 90
31+62, 93
31+68, 99
31+78, 109
31+88, 119
31+89, 120
31+98, 129
32+5, 37
32+7, 39
32+19, 51
32+29, 61
32+35, 67
32+37, 69
32+38, 70
32+42, 74
32+43, 75
32+45, 77
32+48, 80
32+58, 90
32+63, 95
32+65, 97
32+66, 98
32+67, 99
32+70, 102
32+77, 109
32+87, 119
32+88, 120
32+97, 129
33+18, 51
33+28, 61
33+34, 67
33+36, 69
33+42, 75
33+47, 80
33+57, 90
33+59, 92
33+60, 93
33+62, 95
33+64, 97
33+68, 101
33+69, 102
33+76, 109
33+86, 119
33+87, 120
33+96, 129
34+17, 51
34+27, 61
34+33, 67
34+37, 71
34+40, 74
34+43, 77
34+47, 81
34+49, 83
34+56, 90
34+59, 93
34+63, 97
34+64, 98
34+68, 102
34+75, 109
34+85, 119
34+86, 120
34+95, 129
34+99, 133
35+16, 51
35+26, 61
35+32, 67
35+36, 71
35+39, 74
35+46, 81
35+48, 83
35+55, 90
35+56, 91
35+58, 93
35+63, 98
35+66, 101
35+67, 102
35+74, 109
35+84, 119
35+85, 120
35+89, 124
35+94, 129
36+15, 51
36+25, 61
36+31, 67
36+35, 71
36+39, 75
36+45, 81
36+48, 84
36+49, 85
36+54, 90
36+55, 91
36+57, 93
36+62, 98
36+65, 101
36+66, 102
36+73, 109
36+83, 119
36+89, 125
